timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454738799203576,-0.43763893153647604,-1.1278422926514462,0.0,2.8057173818004104e-19,-1.743681103938951e-18,3.6796191717136834e-06
1778454738819249949,-0.43763893153647604,-1.1278422926514462,0.0,2.7683272370813635e-19,-1.7219485458928328e-18,-1.2764401615327118e-06
1778454738839303525,-0.43763893153647604,-1.1278422926514462,0.0,2.735703723513438e-19,-1.6999146181894596e-18,-2.1530231979332467e-06
1778454738859260824,-0.43763893153647604,-1.1278422926514462,0.0,2.7490895735791443e-19,-1.6808728314543744e-18,1.3719226959739414e-06
1778454738879246345,-0.43763893153647604,-1.1278422926514462,0.0,2.6661444608525395e-19,-1.6574081889374751e-18,2.2233081592848047e-06
1778454738899255087,-0.43763893153647604,-1.1278422926514462,0.0,2.670902901602809e-19,-1.6379317184528038e-18,1.6639633617770895e-06
1778454738919255016,-0.43763893153647604,-1.1278422926514462,0.0,2.560451011090732e-19,-1.613128036066329e-18,-3.8477287835257766e-06
1778454738939266222,-0.43763893153647604,-1.1278422926514462,0.0,2.5356753962245697e-19,-1.59162405557106e-18,-1.2635843584960605e-06
1778454738959248076,-0.43763893153647604,-1.1278422926514462,0.0,2.4903084097293984e-19,-1.5707297499256974e-18,-4.414373557545666e-06
1778454738979251911,-0.43763893153647604,-1.1278422926514462,0.0,2.4709111859689886e-19,-1.5506597655479419e-18,2.486664658348107e-06
1778454738999253580,-0.43763893153647604,-1.1278422926514462,0.0,2.4724197501413307e-19,-1.5329970203905581e-18,4.567145703765867e-06
1778454739019288730,-0.43763893153647604,-1.1278422926514462,0.0,2.4661867869258425e-19,-1.5148358946294076e-18,6.978119785920329e-06
1778454739039254362,-0.43763893153647604,-1.1278422926514462,0.0,2.4678301899400777e-19,-1.4975500667305704e-18,-1.1193687947732991e-05
1778454739059254883,-0.43763893153647604,-1.1278422926514462,0.0,2.42410156320468e-19,-1.478176961792683e-18,-1.6032149958951781e-06
1778454739079254182,-0.43763893153647604,-1.1278422926514462,0.0,2.442487493852522e-19,-1.4618230585673474e-18,6.575280528993552e-06
1778454739099281258,-0.43763893153647604,-1.1278422926514462,0.0,2.407186085400941e-19,-1.4425411832472989e-18,1.099171662896533e-06
1778454739119232982,-0.43763893153647604,-1.1278422926514462,0.0,2.412560229061854e-19,-1.4257682039966217e-18,9.130184158171579e-06
1778454739139245133,-0.43763893153647604,-1.1278422926514462,0.0,2.376278972759906e-19,-1.407487517238525e-18,2.01821496204019e-05
